scenario,integrated_labour_cost,sequential_labour_cost,cost_saving,cost_saving_pct,integrated_weighted_flow_time,sequential_weighted_flow_time,weighted_flow_time_change_pct,integrated_mean_flow_time_periods,sequential_mean_flow_time_periods,mean_flow_time_change_pct,integrated_regular_hours,sequential_regular_hours,regular_hour_saving,integrated_temp_hours,sequential_temp_hours,temp_hour_change,integrated_balance,sequential_balance,balance_change_pct,integrated_active_waves,sequential_active_waves
base,609.4,704.92,95.51999999999998,13.55047381263122,227.2,208.2,9.125840537944285,1.216667,1.1,10.606090909090895,24.0,24.0,0.0,5.0,9.0,4.0,371.746667,453.666667,-18.05731078761403,10,11
promotion,704.92,792.44,87.5200000000001,11.044369289788513,333.8,328.2,1.7062766605728283,1.324138,1.303448,1.5873283782705638,24.0,24.0,0.0,9.0,13.0,4.0,428.38,429.92,-0.35820617789356635,11,11
tight_due_dates,661.16,678.64,17.480000000000018,2.5757397147235674,278.4,274.0,1.6058394160583858,1.224,1.2,2.0000000000000018,24.0,30.0,6.0,7.0,3.0,-4.0,276.98,274.98,0.7273256236817223,11,11
labour_shortage,613.77,748.65,134.88,18.016429573231818,238.0,223.4,6.535362578334823,1.266667,1.166667,8.571426122449688,24.0,30.0,6.0,4.0,5.0,1.0,290.608333,340.986667,-14.774282655456435,10,11
