scenario,integrated_labour_cost,sequential_labour_cost,cost_saving,cost_saving_pct,integrated_weighted_flow_time,sequential_weighted_flow_time,weighted_flow_time_change_pct,integrated_mean_flow_time_periods,sequential_mean_flow_time_periods,mean_flow_time_change_pct,integrated_regular_hours,sequential_regular_hours,regular_hour_saving,integrated_temp_hours,sequential_temp_hours,temp_hour_change,integrated_balance,sequential_balance,balance_change_pct,integrated_active_waves,sequential_active_waves,orders,avg_items_per_order,avg_pick_minutes,avg_pack_minutes,avg_flow_sla_width,avg_volume_dm3,total_workload_minutes,peak_arrivals_in_period,total_wave_volume_capacity,total_wave_order_capacity,integrated_late_orders,integrated_solve_time_seconds,integrated_cost_per_order,sequential_cost_per_order,cost_per_order_saving,on_time_rate_pct
base,609.4,704.92,95.51999999999998,13.55047381263122,227.2,208.2,9.125840537944285,1.216667,1.1,10.606090909090897,24.0,24.0,0.0,5.0,9.0,4.0,371.746667,453.666667,-18.05731078761403,10,11,120,2.142,6.966,3.01,3.75,3.996,1197.07,20,765.1,154,0,2.335976,5.078333333333333,5.874333333333333,0.7960000000000003,100.0
promotion,704.92,792.44,87.5200000000001,11.044369289788513,333.8,328.2,1.7062766605728283,1.324138,1.303448,1.5873283782705638,24.0,24.0,0.0,9.0,13.0,4.0,428.38,429.92,-0.3582061778935663,11,11,145,2.145,7.002,3.045,2.966,4.057,1456.86,23,825.84,176,0,3.770468,4.86151724137931,5.465103448275863,0.6035862068965523,100.0
tight_due_dates,661.16,678.64,17.480000000000018,2.575739714723567,278.4,274.0,1.6058394160583858,1.224,1.2,2.0000000000000018,24.0,30.0,6.0,7.0,3.0,-4.0,276.98,273.66,1.2131842432215132,11,11,125,2.112,6.857,2.989,2.096,3.984,1230.72,16,740.52,143,0,0.375832,5.28928,5.42912,0.1398400000000004,100.0
labour_shortage,613.77,704.89,91.12,12.92683964873952,238.0,223.4,6.535362578334823,1.266667,1.166667,8.571426122449688,24.0,30.0,6.0,4.0,3.0,-1.0,290.608333,344.388333,-15.61609231402156,10,11,120,2.117,6.872,2.983,3.633,4.096,1182.61,18,765.1,154,0,5.215837,5.11475,5.874083333333333,0.7593333333333332,100.0
